op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,2state1ap2acc_parity_0145166592_c×3state1ap0acc_073862,0.0264,,,18,324,31,cold
align,2state1ap2acc_parity_0152260743_c×3state1ap0acc_024808,0.0516,,,45,2025,91,cold
align,2state1ap2acc_parity_0152260743_c×3state1ap0acc_025712_c,0.1812,,,186,34596,492,cold
align,2state1ap2acc_parity_0156533284_c×3state1ap0acc_074830_c,0.0461,,,38,1444,108,cold
align,2state1ap2acc_parity_0156533284_c×3state1ap0acc_091209,0.0384,,,33,1089,123,cold
align,2state1ap2acc_parity_0175001344×3state1ap0acc_004360,0.0183,,,13,169,19,cold
align,2state1ap2acc_parity_0176724042_c×2state1ap2acc_parity_0270871214,0.0394,,,33,1089,64,cold
align,2state1ap2acc_parity_0176724042_c×3state1ap0acc_070284,0.0394,,,34,1156,68,cold
align,2state1ap2acc_parity_0176724042×3state1ap0acc_004388,0.0374,,,26,676,40,cold
align,2state1ap2acc_parity_0177009408_c×3state1ap0acc_007190,0.1776,,,174,30276,438,cold
align,2state1ap2acc_parity_0177009408_c×3state1ap0acc_113158,0.0467,,,36,1296,84,cold
align,2state1ap2acc_parity_0270436363×3state1ap0acc_005162_c,0.024,,,18,324,40,cold
align,2state1ap2acc_parity_0270436363×3state1ap0acc_028744,0.0272,,,20,400,24,cold
align,2state1ap2acc_parity_0270871214_c×3state1ap0acc_004506,0.053,,,54,2916,109,cold
align,2state1ap2acc_parity_0270871214_c×3state1ap0acc_078088,0.026,,,20,400,40,cold
align,2state1ap2acc_parity_0274311170_c×3state1ap0acc_005780_c,0.0431,,,31,961,127,cold
align,2state1ap2acc_parity_0274311170×3state1ap0acc_013645_c,0.0447,,,33,1089,123,cold
align,2state1ap2acc_parity_0275024128_c×3state1ap0acc_029336,0.068,,,68,4624,152,cold
align,2state1ap2acc_parity_0275024128×3state1ap0acc_073868,0.0256,,,19,361,53,cold
align,2state1ap2acc_parity_0275024128×3state1ap0acc_080900,0.1033,,,99,9801,331,cold
align,2state1ap2acc_parity_0276924416_c×3state1ap0acc_069848,0.0887,,,94,8836,148,cold
align,2state1ap2acc_parity_0277520900×3state1ap0acc_092681,0.04,,,31,961,62,cold
align,2state1ap2acc_parity_0279620104_c×3state1ap0acc_106728_c,0.1172,,,122,14884,285,cold
align,2state1ap2acc_parity_0279620104×3state1ap0acc_030986_c,0.2058,,,220,48400,384,cold
align,2state1ap2acc_parity_0280437504×3state1ap0acc_029990,0.0781,,,83,6889,204,cold
align,2state1ap2acc_parity_0285476138_c×3state1ap0acc_029380,0.0353,,,27,729,55,cold
align,2state1ap2acc_parity_0285476138_c×3state1ap0acc_080516_c,0.0275,,,22,484,64,cold
align,2state1ap2acc_parity_0352460833_c×3state1ap0acc_007844,0.0344,,,27,729,87,cold
align,2state1ap2acc_parity_0357503297×3state1ap0acc_005132,0.0332,,,24,576,40,cold
align,2state1ap2acc_parity_0357582722×3state1ap0acc_006157,0.0539,,,51,2601,82,cold
align,2state1ap2acc_parity_0361465986×3state1ap0acc_024752,0.0587,,,55,3025,110,cold
align,2state1ap2acc_parity_0495881612_c×3state1ap0acc_005262,0.1759,,,176,30976,252,cold
align,2state1ap2acc_parity_0538182656×3state1ap0acc_079884,0.1131,,,114,12996,105,cold
align,2state1ap2acc_parity_0541081603×3state1ap0acc_031010,0.0771,,,80,6400,135,cold
align,2state1ap2acc_parity_0541081604_c×3state1ap0acc_013582,0.084,,,86,7396,381,cold
align,2state1ap2acc_parity_0541081604×3state1ap0acc_004504,0.1442,,,155,24025,162,cold
align,2state1ap2acc_parity_0545426951_c×3state1ap0acc_029705,0.069,,,69,4761,272,cold
align,2state1ap2acc_parity_0545808721_c×3state1ap0acc_012568,0.0345,,,29,841,32,cold
align,2state1ap2acc_parity_0571753498×2state1ap2acc_parity_1079880192_c,0.0364,,,27,729,61,cold
align,2state1ap2acc_parity_0572212224_c×3state1ap0acc_024664_c,0.1046,,,121,14641,85,cold
align,2state1ap2acc_parity_0574882177_c×3state1ap0acc_075880,0.052,,,54,2916,173,cold
align,2state1ap2acc_parity_0574882177×3state1ap0acc_025184_c,0.0357,,,25,625,59,cold
align,2state1ap2acc_parity_0579994816×3state1ap0acc_090730,0.021,,,14,196,40,cold
align,2state1ap2acc_parity_0585695318×3state1ap0acc_096268,0.0338,,,21,441,86,cold
align,2state1ap2acc_parity_0682573952_c×3state1ap0acc_007174,0.1669,,,184,33856,113,cold
align,2state1ap2acc_parity_0684213249×3state1ap0acc_075940_c,0.1063,,,96,9216,296,cold
align,2state1ap2acc_parity_0684213249×3state1ap0acc_078984,0.0551,,,55,3025,101,cold
align,2state1ap2acc_parity_0707694609×3state1ap0acc_080390_c,0.0383,,,30,900,111,cold
align,2state1ap2acc_parity_0710149141_c×3state1ap0acc_024674_c,0.0345,,,28,784,70,cold
align,2state1ap2acc_parity_0713198154×3state1ap0acc_012388_c,0.0939,,,99,9801,108,cold
align,2state1ap2acc_parity_0717635593_c×3state1ap0acc_030744_c,0.1125,,,119,14161,104,cold
align,2state1ap2acc_parity_0717767747_c×3state1ap0acc_079365,0.0819,,,78,6084,387,cold
align,2state1ap2acc_parity_0717767747_c×3state1ap0acc_112652_c,0.0827,,,65,4225,222,cold
align,2state1ap2acc_parity_0717767747×3state1ap0acc_090212_c,0.0654,,,71,5041,262,cold
