input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state3ap1acc_01561.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G((b | (!a & c)) & F((a & b & !c) | (!a & c))),12,2,19,1.6,271b1eeb7c07,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_01561.hoa
1state3ap1acc_01561_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.095,(!b & (a | !c)) | ((b | (!a & c)) & X(F((a & !b) | (!b & !c)) | (G(b | (!a & c))…,24,4,49,2.0,4df7ebe0ea54,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_01561_c.hoa
1state3ap1acc_01568.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G(((a & !b & c) | (!a & !c)) & F(!a & b & !c)),13,2,20,1.5,cc66a6516c17,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01568.hoa
1state3ap1acc_01568_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.096,(a & !c) | (c & (!a | b)) | (((a & !b & c) | (!a & !c)) & X(F((!a & c) | (a & !c…,25,4,58,2.3,8cfa7cc93e7f,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_01568_c.hoa
1state3ap1acc_01569.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,G(((!a & !c) | (b & c)) & F((!a & !b & !c) | (!a & b & c))),15,2,25,1.7,ff94059c451d,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01569.hoa
1state3ap1acc_01569_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.095,(a & !c) | (!b & c) | (((!a & !c) | (b & c)) & X(F((a & !c) | (!b & c)) | (G((!a…,24,4,55,2.3,dbd8651118bb,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_01569_c.hoa
1state3ap1acc_01577.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,G((!b | (!a & c)) & F((!a & !b & !c) | (!a & b & c) | (a & !b & c))),15,2,28,1.9,387817fa7616,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_01577.hoa
1state3ap1acc_01577_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.099,(b & (a | !c)) | ((!b | (!a & c)) & X(F((a & b) | (b & !c)) | (G(!b | (!a & c)) …,26,4,54,2.1,a24fe93738fd,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01577_c.hoa
1state3ap1acc_01584.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G(((!a & !b & c) | (b & !c) | (a & b)) & F(b & !c)),13,2,21,1.6,54c3d9e1a93b,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01584.hoa
1state3ap1acc_01584_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,(!a & b & c) | (!b & (a | !c)) | (((!a & !b & c) | (b & !c) | (a & b)) & X(F((!a…,26,4,68,2.6,876aa150c383,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_01584_c.hoa
1state3ap1acc_01585.hoa,LTL,sos2ltl+sos2ltl.engine,0.096,G((b | (!a & !c)) & F((a & b) | (b & !c))),13,2,18,1.4,7702fd4d6ddb,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_01585.hoa
1state3ap1acc_01585_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.095,(!b & (a | c)) | ((b | (!a & !c)) & X(F((a & !b) | (!b & c)) | (G(b | (!a & !c))…,25,4,48,1.9,4b0d90606284,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_01585_c.hoa
1state3ap1acc_01592.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G(((!b & c) | (a & c) | (b & !c)) & F((a & b & !c) | (!b & c))),14,2,25,1.8,f1bc9068eb16,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_01592.hoa
1state3ap1acc_01592_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,(!a & b & c) | (!b & !c) | (((!b & c) | (a & c) | (b & !c)) & X(F((!a & b & c) |…,25,4,65,2.6,f5bf94db9fb3,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_01592_c.hoa
