pop,neg_phi,k,bits,safety,cosafety,obligation,recurrence,persistence,brute,ms,note
fwd,2state3ap1acc_parity_12253434782604436768,1state3ap1acc_06120_c,90,0,0,0,1,0,skip-bits,72.3,
fwd,2state3ap1acc_parity_17019428005131849826,2state3ap1acc_parity_05706837261896771984_c,118,0,0,0,0,0,skip-bits,643.7,
fwd,3state1ap0acc_004392,3state1ap1acc_20401758904_c,12,1,0,1,1,1,ok,361.1,
fwd,3state1ap0acc_004612,3state1ap0acc_013641,7,1,0,1,1,1,ok,10.5,
fwd,3state1ap0acc_004741,3state1ap0acc_024802,8,1,1,1,1,1,ok,17.1,
fwd,3state1ap0acc_004756_c,2state1ap1acc_16899,1,0,1,1,1,1,ok,1.6,
fwd,3state1ap0acc_004772,3state1ap0acc_086156_c,18,1,0,1,1,1,skip-bits,10.4,
fwd,3state1ap0acc_004772_c,3state1ap0acc_021920_c,15,0,1,1,1,1,skip-bits,42.3,
fwd,3state1ap0acc_005148,3state1ap0acc_074472,19,1,0,1,1,1,skip-bits,77.3,
fwd,3state1ap0acc_005514,3state1ap0acc_024720_c,7,1,0,1,1,1,ok,26.1,
fwd,3state1ap0acc_005514,3state1ap0acc_080964_c,60,1,0,1,1,1,skip-bits,273.1,
fwd,3state1ap0acc_005652,3state1ap0acc_004280_c,8,1,0,1,1,1,ok,393.4,
fwd,3state1ap0acc_005764_c,3state1ap0acc_030856_c,20,0,1,1,1,1,skip-bits,42.7,
fwd,3state1ap0acc_005769_c,3state1ap0acc_030729,42,0,1,1,1,1,skip-bits,475.1,
