# date: 2026-07-11
# git-rev: c8f4d3004
# seed: 20260711
# corpus: genaut/corpus/flat_canon/sos
case,n_aps,n_classes,inert_set,sym_generator_hits,anti_generator_hits,anti_possible,sym_full_count,anti_full_count,status,wall_ms
1state3ap1acc_01936,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01936_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01944,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01944_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01952,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01952_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01960,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01960_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01968,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_01968_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01976,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01976_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_02016,3,4,,,,0,2,0,ok,9.0
1state3ap1acc_02016_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_02024,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_02024_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_02032,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_02032_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_02040,3,3,,,,0,2,0,ok,7.8
1state3ap1acc_02040_c,3,3,,,,0,2,0,ok,7.8
1state3ap1acc_02725,2,4,,,,0,2,0,ok,1.7
1state3ap1acc_02725_c,2,4,,,,0,2,0,ok,1.7
1state3ap1acc_03856,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_03856_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_03888,2,4,,,,0,1,0,ok,1.7
1state3ap1acc_03888_c,2,4,,,,0,1,0,ok,1.7
1state3ap1acc_03936,3,4,,t01,,0,4,0,ok,9.2
1state3ap1acc_03936_c,3,4,,t01,,0,4,0,ok,9.6
1state3ap1acc_03952,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_03952_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_04080,1,3,,,,0,1,0,ok,0.4
1state3ap1acc_04080_c,1,3,,,,0,1,0,ok,0.4
1state3ap1acc_05633,3,4,,t02,,0,6,0,ok,9.1
1state3ap1acc_05633_c,3,4,,t02,,0,6,0,ok,9.6
1state3ap1acc_05640,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_05640_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_05641,3,4,,,,0,2,0,ok,9.0
