case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
1state3ap0acc_006,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_006_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_007,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_007_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_015,default,0,1,3,3,5,4,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_015_c,default,0,1,3,3,5,4,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_022,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_022_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_023,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_023_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_024,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_024_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
