id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_11216132919718599426484354168135068180600985,16,0,58,4,4,1,CONFLICT,76,3,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985,18,0,58,3,4,1,CLEAN,270,,,,,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985,20,0,58,4,4,1,CONFLICT,87,3,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985,21,0,58,4,4,1,CONFLICT,13084,3,1,0,1,0.15
3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,13,0,58,4,4,1,CONFLICT,115,3,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,15,0,58,4,4,1,CONFLICT,13048,3,1,0,1,0.10
3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,16,0,58,4,4,1,CONFLICT,76,3,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,18,0,58,3,4,1,CLEAN,270,,,,,0.00
2state2ap2acc_parity_03965744933853960312,7,0,18,3,4,1,CONFLICT,36,2,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,20,0,58,4,4,1,CONFLICT,87,3,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,21,0,58,4,4,1,CONFLICT,13084,3,1,0,1,0.09
3state2ap2acc_parity_11224310948791634906563396808888973566512377,12,0,95,6,4,1,BUDGET,1000000,,,,,12.70
3state2ap2acc_parity_11224310948791634906563396808888973566512377,14,0,95,6,4,1,BUDGET,1000000,,,,,14.17
3state2ap2acc_parity_11224310948791634906563396808888973566512377,19,0,95,6,4,1,BUDGET,1000000,,,,,13.22
3state2ap2acc_parity_11224310948791634906563396808888973566512377,20,0,95,3,4,1,CLEAN,141,,,,,0.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377,21,0,95,6,4,1,BUDGET,1000000,,,,,19.30
3state2ap2acc_parity_11224310948791634906563396808888973566512377,22,0,95,6,4,1,BUDGET,1000000,,,,,15.71
3state2ap2acc_parity_11224310948791634906563396808888973566512377,23,0,95,3,4,1,CLEAN,141,,,,,0.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377,24,0,95,3,4,1,CLEAN,141,,,,,0.00
2state2ap2acc_parity_03965744933853960312,8,0,18,3,4,1,CONFLICT,27,3,1,0,1,0.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377,25,0,95,6,4,1,BUDGET,1000000,,,,,13.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,12,0,95,6,4,1,BUDGET,1000000,,,,,16.35
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,14,0,95,6,4,1,BUDGET,1000000,,,,,16.35
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,19,0,95,6,4,1,BUDGET,1000000,,,,,15.55
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,20,0,95,3,4,1,CLEAN,141,,,,,0.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,21,0,95,6,4,1,BUDGET,1000000,,,,,14.49
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,22,0,95,6,4,1,BUDGET,1000000,,,,,13.26
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,23,0,95,3,4,1,CLEAN,141,,,,,0.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,24,0,95,3,4,1,CLEAN,141,,,,,0.00
3state2ap2acc_parity_11224310948791634906563396808888973566512377_c,25,0,95,6,4,1,BUDGET,1000000,,,,,15.71
2state2ap2acc_parity_03965744933853960312_c,6,0,18,3,4,1,CONFLICT,2021,2,1,0,1,0.02
3state2ap2acc_parity_11324279776977852462179787958934211844653225,15,0,87,5,4,1,CONFLICT,302,4,1,0,1,0.00
3state2ap2acc_parity_11324279776977852462179787958934211844653225,16,0,87,5,4,1,CONFLICT,235,4,1,0,1,0.00
3state2ap2acc_parity_11324279776977852462179787958934211844653225,17,0,87,4,4,1,CLEAN,572,,,,,0.00
