input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
aut_01652.hoa,LTL,daisy2,0.076,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01652.hoa
aut_01655.hoa,LTL,acc,1.168,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01655.hoa
aut_01656.hoa,LTL,daisy2,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01656.hoa
aut_01660.hoa,NOT_LTL,,1.158,,,,,,,,genaut/corpus/2state1ap1acc/aut_01660.hoa
aut_01664.hoa,NOT_LTL,,1.158,,,,,,,,genaut/corpus/2state1ap1acc/aut_01664.hoa
aut_01666.hoa,TIMEOUT,,16.031,,,,,,,,genaut/corpus/2state1ap1acc/aut_01666.hoa
aut_01667.hoa,NOT_LTL,,1.163,,,,,,,,genaut/corpus/2state1ap1acc/aut_01667.hoa
aut_01668.hoa,NOT_LTL,,1.164,,,,,,,,genaut/corpus/2state1ap1acc/aut_01668.hoa
aut_01671.hoa,LTL,acc,1.162,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01671.hoa
aut_01672.hoa,NOT_LTL,,1.173,,,,,,,,genaut/corpus/2state1ap1acc/aut_01672.hoa
aut_01676.hoa,NOT_LTL,,1.195,,,,,,,,genaut/corpus/2state1ap1acc/aut_01676.hoa
aut_01680.hoa,LTL,daisy,0.077,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01680.hoa
aut_01682.hoa,LTL,daisy,0.080,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01682.hoa
aut_01683.hoa,LTL,daisy,0.075,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01683.hoa
aut_01728.hoa,NOT_LTL,,1.187,,,,,,,,genaut/corpus/2state1ap1acc/aut_01728.hoa
aut_01731.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.231,X(!a & G(!a | X!a)),7,1,11,1.6,3d7651ff18ca,TRUE,genaut/corpus/2state1ap1acc/aut_01731.hoa
aut_01732.hoa,LTL,daisy2,0.075,G(F!a & Fa),6,3,7,1.2,8ad927f0d306,TRUE,genaut/corpus/2state1ap1acc/aut_01732.hoa
aut_01735.hoa,LTL,buchi+daisy+daisy2+daisystar+daisystardet+deep_roundtrip+inv+scc2+scc3+strength2,2.154,((a | XF(!a & XFa)) & (!a | XF(!a & XFa)) & G((!a | X(!a R (a | X(!a W (a & XF(!…,40,9,126,3.1,4846501c32cf,TRUE,genaut/corpus/2state1ap1acc/aut_01735.hoa
aut_01736.hoa,NOT_LTL,,1.188,,,,,,,,genaut/corpus/2state1ap1acc/aut_01736.hoa
aut_01740.hoa,LTL,buchi+deep_roundtrip+partscc,1.207,X(!a & G(Fa & (!a | X!a))),9,2,14,1.6,c42507dd5d97,TRUE,genaut/corpus/2state1ap1acc/aut_01740.hoa
aut_02070.hoa,LTL,buchi+daisy+deep_roundtrip+inv+scc2+strength2,1.264,a & GFa,4,2,5,1.2,096142f8aab2,TRUE,genaut/corpus/2state1ap1acc/aut_02070.hoa
aut_02071.hoa,LTL,acc,1.209,a,1,0,1,1.0,883cb92c9ed3,TRUE,genaut/corpus/2state1ap1acc/aut_02071.hoa
aut_02114.hoa,TIMEOUT,,16.031,,,,,,,,genaut/corpus/2state1ap1acc/aut_02114.hoa
aut_02115.hoa,NOT_LTL,,1.127,,,,,,,,genaut/corpus/2state1ap1acc/aut_02115.hoa
aut_02144.hoa,NOT_LTL,,1.128,,,,,,,,genaut/corpus/2state1ap1acc/aut_02144.hoa
aut_02147.hoa,NOT_LTL,,1.171,,,,,,,,genaut/corpus/2state1ap1acc/aut_02147.hoa
aut_02152.hoa,NOT_LTL,,1.173,,,,,,,,genaut/corpus/2state1ap1acc/aut_02152.hoa
aut_02156.hoa,NOT_LTL,,1.120,,,,,,,,genaut/corpus/2state1ap1acc/aut_02156.hoa
aut_02160.hoa,NOT_LTL,,1.116,,,,,,,,genaut/corpus/2state1ap1acc/aut_02160.hoa
aut_02162.hoa,LTL,partscc,0.072,a & G(a | Xa),5,1,7,1.4,160e89dc0907,TRUE,genaut/corpus/2state1ap1acc/aut_02162.hoa
aut_02163.hoa,NOT_LTL,,1.112,,,,,,,,genaut/corpus/2state1ap1acc/aut_02163.hoa
aut_02172.hoa,NOT_LTL,,1.133,,,,,,,,genaut/corpus/2state1ap1acc/aut_02172.hoa
aut_02179.hoa,NOT_LTL,,1.130,,,,,,,,genaut/corpus/2state1ap1acc/aut_02179.hoa
aut_02192.hoa,NOT_LTL,,1.115,,,,,,,,genaut/corpus/2state1ap1acc/aut_02192.hoa
aut_02195.hoa,NOT_LTL,,1.124,,,,,,,,genaut/corpus/2state1ap1acc/aut_02195.hoa
aut_02243.hoa,TIMEOUT,,16.033,,,,,,,,genaut/corpus/2state1ap1acc/aut_02243.hoa
aut_02368.hoa,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_02368.hoa
aut_02400.hoa,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_02400.hoa
aut_02402.hoa,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_02402.hoa
aut_02432.hoa,NOT_LTL,,1.184,,,,,,,,genaut/corpus/2state1ap1acc/aut_02432.hoa
